Agent_ID,Observation,Action,Reward
1,[0. 0.],1,5.0
2,[0. 0.],1,5.0
3,[0. 0.],1,5.0
4,[0. 0.],1,5.0
1,[2.4124804 2.5      ],1,4.879375981152687
2,[17.5  2.5],1,4.125
3,[2.2522879 2.5      ],0,4.887385605291481
4,[0.6950852 2.5      ],1,4.9652457380353665
1,[1.5187798 3.       ],1,4.924061011674335
2,[15.5  3. ],0,4.225
3,[3.2589505 2.       ],0,4.837052480633962
4,[2.5887902 3.       ],1,4.870560492668995
1,[2.0485017 3.5      ],1,4.897574910003501
2,[14.   2.5],0,4.3
3,[4.9365587 1.5      ],1,4.753172073545073
4,[5.086205 3.5     ],1,4.745689758897014
1,[1.6915195 4.       ],1,4.915424022750842
2,[13.  2.],1,4.35
3,[7.635447 2.      ],1,4.618227660618089
4,[5.137712 4.      ],1,4.743114396572835
1,[0.  4.5],1,5.0
2,[11.5  2.5],0,4.425
3,[9.543317 2.5     ],0,4.522834157143633
4,[3.9365 4.5   ],1,4.803174993388862
1,[0. 5.],0,5.0
2,[10.5  2. ],1,4.475
3,[12.508251  2.      ],0,4.374587422171815
4,[3.5381703 5.       ],1,4.823091477483707
1,[0.  4.5],1,5.0
2,[9.  2.5],0,4.55
3,[14.52624  1.5    ],1,4.273687972212172
4,[2.838461 5.5     ],1,4.858076957484095
1,[0. 5.],0,5.0
2,[8. 2.],0,4.6000000000000005
3,[17.132357  2.      ],0,4.143382209864775
4,[0. 6.],0,5.0
1,[0.  4.5],1,5.0
2,[7.5 1.5],1,4.625
3,[20.503668  1.5     ],1,3.9748165710736116
4,[0.  5.5],0,5.0
1,[0. 5.],1,5.0
2,[6.5 2. ],1,4.675000000000001
3,[22.931442  2.      ],0,3.8534279167161016
4,[0. 5.],1,5.0
1,[0.  5.5],1,5.0
2,[5.  2.5],1,4.75
3,[25.625185  1.5     ],0,3.7187407530302066
4,[0.  5.5],1,5.0
1,[0. 6.],0,5.0
2,[3. 3.],0,4.85
3,[27.868355  1.      ],1,3.6065822681866377
4,[0. 6.],1,5.0
1,[0.  5.5],0,5.0
2,[1.5 2.5],1,4.925
3,[29.81244  1.5    ],0,3.509377993069962
4,[0.  6.5],1,5.0
1,[0. 5.],1,5.0
2,[0. 3.],1,5.0
3,[32.74207  1.     ],1,3.3628964979205502
4,[0. 7.],1,5.0
1,[0.  5.5],1,5.0
2,[0.  3.5],1,5.0
3,[34.79468  1.5    ],1,3.260265851125271
